tid,task,dtnum
150000_150622,内蒙古自治区_准格,20
150000_150785,内蒙古自治区_根河,20
150000_150621,内蒙古自治区_达拉,44
150000_150603,内蒙古自治区_康巴,8
150000_150623,内蒙古自治区_鄂托,125
150000_150626,内蒙古自治区_乌审,28
150000_150524,内蒙古自治区_库伦,248
150000_150526,内蒙古自治区_扎鲁,255
150000_150523,内蒙古自治区_开鲁,172
150000_150627,内蒙古自治区_伊金,28
150000_150525,内蒙古自治区_奈曼,324
150000_150571,内蒙古自治区_通辽,431
150000_150581,内蒙古自治区_霍林,33
210000_210303,辽宁省_铁西,77
210000_210311,辽宁省_千山,13
210000_210304,辽宁省_立山,14
210000_210323,辽宁省_岫岩,8
210000_210321,辽宁省_台安,7
210000_210302,辽宁省_铁东,37
210000_210381,辽宁省_海城,19
210000_210203,辽宁省_西岗,24
210000_210204,辽宁省_沙河,48
210000_210211,辽宁省_甘井,40
210000_210212,辽宁省_旅顺,13
210000_210214,辽宁省_普兰,17
210000_210213,辽宁省_金州,24
210000_210224,辽宁省_长海,1
210000_210281,辽宁省_瓦房,27
210000_210283,辽宁省_庄河,10
210000_210402,辽宁省_新抚,18
210000_210422,辽宁省_新宾,6
210000_210404,辽宁省_望花,9
210000_210403,辽宁省_东洲,8
210000_210202,辽宁省_中山,44
210000_210421,辽宁省_抚顺,75
210000_210411,辽宁省_顺城,28
210000_210102,辽宁省_和平,80
210000_210423,辽宁省_清原,7
210000_210105,辽宁省_皇姑,38
210000_210103,辽宁省_沈河,61
210000_210104,辽宁省_大东,57
210000_210112,辽宁省_浑南,9
210000_210111,辽宁省_苏家,16
